slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
a-m-commerce,"A&M-Commerce",A&M-CO,2018-19,2023-24,3,37
a-m-texarkana,"A&M Texarkana",AT,2024-25,2024-25,1,12
aamu,"AAMU",AAMU,2018-19,2025-26,8,120
abil-christian,"Abil.Christian",ABIL.C,2013-14,2017-18,5,64
academy-of-art,"Academy of Art",AOA,2011-12,2011-12,1,10
acu,"ACU",ACU,2018-19,2025-26,8,116
adams-st,"Adams St.",AS,2014-15,2017-18,3,35
adrian,"Adrian",ADRIAN,2016-17,2020-21,2,29
air-force,"Air Force",AF,2010-11,2025-26,16,294
akron,"Akron",AKRON,2010-11,2025-26,16,240
al-huntsville,"Al.-Huntsville",AL.-HU,2012-13,2013-14,2,24
alabama,"Alabama",ALABAM,2010-11,2025-26,16,239
alabama-a-m,"Alabama A&M",AA,2010-11,2017-18,8,144
alabama-st,"Alabama St.",AS,2010-11,2025-26,16,255
alaska-anch,"Alaska-Anch.",ALASKA,2011-12,2018-19,8,89
albany,"Albany",ALBANY,2010-11,2025-26,16,233
albany-st,"Albany St.",AS,2015-16,2023-24,3,34
albertus-magnus,"Albertus Magnus",AM,2012-13,2013-14,2,23
albion,"Albion",ALBION,2013-14,2018-19,4,56
albright,"Albright",ALBRIG,2011-12,2011-12,1,15
alcorn-st,"Alcorn St.",AS,2010-11,2025-26,16,260
alfred-st,"Alfred St.",AS,2014-15,2014-15,1,13
alice-lloyd,"Alice Lloyd",AL,2011-12,2024-25,8,111
allen,"Allen",ALLEN,2011-12,2018-19,8,112
alma,"Alma",ALMA,2014-15,2019-20,3,41
amc,"AMC",AMC,2023-24,2023-24,1,15
american,"American",AMERIC,2010-11,2025-26,16,244
anderson,"Anderson",ANDERS,2019-20,2024-25,3,30
anderson-in,"Anderson IN",AI,2011-12,2017-18,4,49
anderson-sc,"Anderson SC",AS,2012-13,2016-17,2,23
andrews,"Andrews",ANDREW,2023-24,2023-24,1,15
angelo-st,"Angelo St.",AS,2015-16,2023-24,3,32
antelope-valley,"Antelope Valley",AV,2015-16,2023-24,6,70
app-state,"App State",AS,2018-19,2025-26,8,112
appalachian-st,"Appalachian St.",AS,2010-11,2017-18,8,140
apprentice,"Apprentice",APPREN,2019-20,2024-25,3,39
aquinas-coll,"Aquinas Coll.",AC,2014-15,2024-25,6,82
arcadia,"Arcadia",ARCADI,2011-12,2023-24,4,48
ariz-christian,"Ariz.Christian",ARIZ.C,2011-12,2016-17,5,66
arizona,"Arizona",ARIZON,2010-11,2025-26,16,254
arizona-st,"Arizona St.",AS,2010-11,2025-26,16,244
ark-fort-smith,"Ark.-Fort Smith",AS,2013-14,2017-18,5,53
ark-monticello,"Ark.-Monticello",ARK.-M,2014-15,2016-17,3,31
ark-pine-bluff,"Ark.-Pine Bluff",AB,2010-11,2017-18,8,144
arkansas,"Arkansas",ARKANS,2010-11,2025-26,16,230
arkansas-bapt,"Arkansas Bapt.",AB,2023-24,2024-25,2,25
arkansas-st,"Arkansas St.",AS,2010-11,2025-26,16,225
arkansas-tech,"Arkansas Tech",AT,2014-15,2019-20,3,37
arlington-baptist,"Arlington Baptist",AB,2011-12,2024-25,12,158
army,"Army",ARMY,2010-11,2025-26,16,336
asbury,"Asbury",ASBURY,2011-12,2024-25,6,89
asu,"ASU",ASU,2020-21,2023-24,2,23
auburn,"Auburn",AUBURN,2010-11,2025-26,16,269
auburn-montgomery,"Auburn-Montgomery",AUBURN,2013-14,2015-16,3,33
augusta,"Augusta",AUGUST,2024-25,2024-25,1,8
augustana-il,"Augustana IL",AI,2017-18,2017-18,1,12
aum,"AUM",AUM,2019-20,2024-25,2,24
aurora,"Aurora",AURORA,2014-15,2024-25,3,40
austin,"Austin",AUSTIN,2011-12,2016-17,4,71
austin-peay,"Austin Peay",AP,2018-19,2025-26,8,109
austin-peay-st,"Austin Peay St.",APS,2010-11,2017-18,8,118
ave-maria,"Ave Maria",AM,2011-12,2023-24,9,100
averett,"Averett",AVERET,2011-12,2024-25,7,100
avila,"Avila",AVILA,2014-15,2024-25,6,79
bacone,"Bacone",BACONE,2011-12,2020-21,4,46
baker,"Baker",BAKER,2014-15,2014-15,1,12
ball-st,"Ball St.",BS,2010-11,2025-26,16,235
barber-scotia,"Barber Scotia",BS,2011-12,2014-15,3,27
barclay,"Barclay",BARCLA,2017-18,2017-18,1,12
bard,"Bard",BARD,2023-24,2023-24,1,11
baruch,"Baruch",BARUCH,2013-14,2023-24,2,23
baylor,"Baylor",BAYLOR,2010-11,2025-26,16,222
bcu,"BCU",BCU,2018-19,2025-26,7,98
belhaven,"Belhaven",BELHAV,2011-12,2023-24,5,58
bellarmine,"Bellarmine",BELLAR,2020-21,2025-26,6,83
bellevue,"Bellevue",BELLEV,2018-19,2023-24,2,22
belm-abbey,"Belm.Abbey",BELM.A,2015-16,2020-21,4,46
belmont,"Belmont",BELMON,2010-11,2025-26,16,245
bemidji-st,"Bemidji St.",BS,2017-18,2018-19,2,24
